"year","GEOID","rate"
"2008","01001","5.1"
"2009","01001","9.7"
"2010","01001","8.9"
"2011","01001","8.4"
"2012","01001","6.9"
"2013","01001","6.2"
"2014","01001","5.9"
"2015","01001","5.2"
"2008","01003","4.6"
"2009","01003","9.8"
"2010","01003","10"
"2011","01003","9"
"2012","01003","7.5"
"2013","01003","6.6"
"2014","01003","6.2"
"2015","01003","5.5"
"2008","01005","8.8"
"2009","01005","14.3"
"2010","01005","12.3"
"2011","01005","11.5"
"2012","01005","11.5"
"2013","01005","10.3"
"2014","01005","10.6"
"2015","01005","8.9"
"2008","01007","5.8"
"2009","01007","13.3"
"2010","01007","11.4"
"2011","01007","10.5"
"2012","01007","8.6"
"2013","01007","7.9"
"2014","01007","7.2"
"2015","01007","6.6"
"2008","01009","4.7"
"2009","01009","10"
"2010","01009","9.8"
"2011","01009","8.7"
"2012","01009","6.9"
"2013","01009","6.3"
"2014","01009","6.2"
"2015","01009","5.4"
"2008","01011","10.5"
"2009","01011","15.6"
"2010","01011","11.8"
"2011","01011","11.6"
"2012","01011","10.4"
"2013","01011","9.4"
"2014","01011","8.9"
"2015","01011","7.8"
"2008","01013","8.5"
"2009","01013","16.4"
"2010","01013","13.6"
"2011","01013","12.5"
"2012","01013","11.6"
"2013","01013","10.3"
"2014","01013","8.6"
"2015","01013","7.5"
"2008","01015","5.7"
"2009","01015","11.1"
"2010","01015","11.4"
"2011","01015","10.3"
"2012","01015","8.9"
"2013","01015","8.8"
"2014","01015","8"
"2015","01015","7"
"2008","01017","14.4"
"2009","01017","19.6"
"2010","01017","14.9"
"2011","01017","12"
"2012","01017","9.9"
"2013","01017","8"
"2014","01017","6.7"
"2015","01017","6"
"2008","01019","5.7"
"2009","01019","11.7"
"2010","01019","10.6"
"2011","01019","9.7"
"2012","01019","8"
"2013","01019","6.6"
"2014","01019","5.8"
"2015","01019","5.4"
"2008","01021","5.1"
"2009","01021","10.6"
"2010","01021","10.3"
"2011","01021","9.1"
"2012","01021","7.2"
"2013","01021","6.6"
"2014","01021","6.3"
"2015","01021","5.7"
"2008","01023","8.3"
"2009","01023","13.5"
"2010","01023","13.3"
"2011","01023","13.1"
"2012","01023","10.3"
"2013","01023","9.3"
"2014","01023","9.1"
"2015","01023","9.1"
"2008","01025","9"
"2009","01025","16.5"
"2010","01025","19.9"
"2011","01025","18.8"
"2012","01025","15"
"2013","01025","13.8"
"2014","01025","12.2"
"2015","01025","11.8"
"2008","01027","7.9"
"2009","01027","16.7"
"2010","01027","14.5"
"2011","01027","11.8"
"2012","01027","9.4"
"2013","01027","8.4"
"2014","01027","7.2"
"2015","01027","6.2"
"2008","01029","5.1"
"2009","01029","10.2"
"2010","01029","10"
"2011","01029","9.7"
"2012","01029","8.2"
"2013","01029","7.7"
"2014","01029","6.6"
"2015","01029","6"
"2008","01031","4.8"
"2009","01031","8.5"
"2010","01031","8.6"
"2011","01031","8.1"
"2012","01031","7.1"
"2013","01031","6.9"
"2014","01031","6.7"
"2015","01031","5.9"
"2008","01033","6.5"
"2009","01033","11.6"
"2010","01033","11.5"
"2011","01033","10.2"
"2012","01033","8.8"
"2013","01033","8.2"
"2014","01033","8.3"
"2015","01033","7.9"
"2008","01035","9.4"
"2009","01035","19.9"
"2010","01035","17.2"
"2011","01035","15.2"
"2012","01035","11.9"
"2013","01035","10.8"
